Cuota;Saldo Inicial;Cuota (Total);Interes;Capital;Saldo Final
1;3500.0;159.9;26.25;133.65;3366.35
2;3366.35;159.9;25.25;134.65;3231.7
3;3231.7;159.9;24.24;135.66;3096.05
4;3096.05;159.9;23.22;136.68;2959.37
5;2959.37;159.9;22.2;137.7;2821.67
6;2821.67;159.9;21.16;138.73;2682.93
7;2682.93;159.9;20.12;139.77;2543.16
8;2543.16;159.9;19.07;140.82;2402.34
9;2402.34;159.9;18.02;141.88;2260.46
10;2260.46;159.9;16.95;142.94;2117.51
11;2117.51;159.9;15.88;144.02;1973.5
12;1973.5;159.9;14.8;145.1;1828.4
13;1828.4;159.9;13.71;146.18;1682.22
14;1682.22;159.9;12.62;147.28;1534.94
15;1534.94;159.9;11.51;148.38;1386.56
16;1386.56;159.9;10.4;149.5;1237.06
17;1237.06;159.9;9.28;150.62;1086.44
18;1086.44;159.9;8.15;151.75;934.69
19;934.69;159.9;7.01;152.89;781.8
20;781.8;159.9;5.86;154.03;627.77
21;627.77;159.9;4.71;155.19;472.58
22;472.58;159.9;3.54;156.35;316.23
23;316.23;159.9;2.37;157.52;158.71
24;158.71;159.9;1.19;158.71;0
